Index_aleatoire;sexe;type_vehicule;age_vehicule;usage_vehicule;type_conduite;est_rouge;points_perdus;formule;Age;Nombre_enfants;Enfant_conduite_accompagne;Revenus;Tarif_devis
133485;F;Sports Car;7;Commercial;Highly Urban/ Urban;no;0;dev_integral;26;Oui;Non;[70k€ – 140k€] ;[300€ – 600€] 
314439;F;Minivan;1;Private;Highly Urban/ Urban;no;2;dev_express;93;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
533336;F;Pickup;4;Private;z_Highly Rural/ Rural;no;0;dev_express;47;Oui;Non;[0 – 70k€] ;[0 – 300€] 
624839;F;z_SUV;5;Private;Highly Urban/ Urban;no;3;dev_integral;4;Non;Non;[0 – 70k€] ;[300€ – 600€] 
883286;M;Panel Truck;12;Commercial;Highly Urban/ Urban;no;2;dev_vip;69;Non;Non;[0 – 70k€] ;[600€ – 900€] 
52239;F;z_SUV;15;Private;z_Highly Rural/ Rural;no;2;dev_premium;33;Oui;Non;[70k€ – 140k€] ;[300€ – 600€] 
611894;F;Minivan;9;Commercial;z_Highly Rural/ Rural;no;0;dev_express;84;Oui;Oui;[70k€ – 140k€] ;[0 – 300€] 
195403;M;z_SUV;10;Private;Highly Urban/ Urban;no;1;dev_premium;69;Non;Non;[0 – 70k€] ;[300€ – 600€] 
741770;M;Minivan;14;Private;Highly Urban/ Urban;no;0;dev_premium;69;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
384632;F;Panel Truck;10;Commercial;Highly Urban/ Urban;yes;1;dev_integral;51;Non;Non;[0 – 70k€] ;[300€ – 600€] 
783602;F;Minivan;10;Private;Highly Urban/ Urban;no;0;dev_express;58;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
356884;M;z_SUV;1;Private;Highly Urban/ Urban;no;0;dev_premium;8;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
884821;F;z_SUV;18;Private;Highly Urban/ Urban;no;0;dev_express;74;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
844622;M;Van;6;Commercial;z_Highly Rural/ Rural;no;5;dev_integral;8;Non;Non;[0 – 70k€] ;[300€ – 600€] 
478064;M;Minivan;1;Private;Highly Urban/ Urban;no;0;dev_integral;80;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
818768;M;Minivan;13;Private;Highly Urban/ Urban;no;0;dev_express;87;Non;Non;[0 – 70k€] ;[0 – 300€] 
545876;F;z_SUV;15;Private;Highly Urban/ Urban;no;0;dev_integral;52;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
472274;F;Van;8;Commercial;Highly Urban/ Urban;yes;1;dev_express;89;Non;Non;[0 – 70k€] ;[0 – 300€] 
288610;F;Minivan;11;Private;Highly Urban/ Urban;yes;0;dev_express;70;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
35146;F;z_SUV;10;Private;Highly Urban/ Urban;no;0;dev_integral;85;Non;Non;[0 – 70k€] ;[0 – 300€] 
